segment_id,name,country,distance,city,athlete_count,polyline
20177881,Lang Yen Phu Loop,Vietnam,802.3,Hà Nội,4474,}yn_Cge~dSDREd@DVGVQPm@P[FoA`@UA]HGFSHIJSDGJK`@SJm@P[\E`@Ft@KVQXAPM\APFNNFTAb@Mf@CVGf@CREFIx@?rAWLIZ_@FMBSFM@KEo@@OAWViAFg@?g@
16848067,Old 1/4 DASH ,Vietnam,287.9,Hà Nội,6494,}cj_Cyt_eSMm@_@[CKMOSm@m@iA[y@MSa@_@UcAQi@AS
33617956,Hang Bong - Hang Gai legend,Vietnam,735.4,Hanoi,4844,oej_Caw_eSASMIW]CYM[ESU[[k@I_@WWQ[KYEi@ISOSs@}AMg@MWCMeAmBMO[q@M_@E[s@mAG]s@q@Yg@GUKO_AwBU]
37457493,3K Công viên Thống Nhất,Vietnam,3005.8,Hà Nội,20537,eff_Cqf_eSFe@?[FKNGJ@^RJAFIAMOe@Mq@Im@Ek@BYN{@?YQc@Mq@ASBk@GiAEUW]o@c@UIk@Ci@Bm@C]Ha@Dy@@oAOYHONMFo@NIAIEs@m@YOu@Ya@E}@@c@D]JeAr@OD[?iAI{@DoB?e@Mk@Ki@O]GGCO[MGCSDe@?mAFkAAIAbAEn@@d@Eh@ElAEb@GpCGXMPODoAA_CKIJ@FFBdDFb@BPFDFDTCvAEf@FHx@@`DGPDBH@VCPKH[?]DKNCLAd@D|@ItABPXLTBx@Q`@Cx@Jf@LZChA@LCjADtAAt@Bp@KXM^GdA@~@AVBRH^RJB~@B|ACd@Bt@@p@E^GJGR_@F[
30356950,Time vong to,Vietnam,1676.1,Hà Nội,3852,_}c_CuvdeSb@K^?xAFb@ApCFlBWh@BlACh@Bh@Cd@D^NFrAGtA@l@PpA@rAEj@Kv@HtBFl@AzABl@Gb@c@HoAKyCCe@E}CBuBCe@DiAVa@EEi@?sAKiACsAJkDPe@UqDEqAGg@Ne@
35750965,[VNO] Times City Loop [02][M][CW],Vietnam,1025.8,Hà Nội,3780,}gc_CehdeScA@y@JgADwKB_@A_@GMGEa@Em@AmAGm@FgARChBBp@Av@B|@ArAD~@G~EBr@EJhCAz@
33905151,Lý Thái Tổ (Ngô Quyền),Vietnam,539.5,Hanoi,28972,syj_CevaeSp@E`@@p@G\EdCm@hAOb@Qj@K`A[|AWv@YrBS`Bo@l@K
33909623,Lý Thường Kiệt (Hàng Bài),Vietnam,363.0,Hanoi,11953,uxh_Ca_beSi@pDOl@SrBUz@UbAM`@a@hBGh@GP
33909626,Lý Thường Kiệt (Quang Trung),Vietnam,358.5,Hanoi,14782,w~h_CeiaeSMp@Ch@g@xBs@`EE^[tAYz@Qp@GN
33354817,Nha Chung to Ly Quoc Su street,Vietnam,550.2,Hà Nội,23006,yui_C{y`eSmB[]?w@Js@Ta@Py@LkAVc@?eB|@k@POJyBn@[Le@LWLkAPGHSD
33909393,Lý Nam Đế (Trần Phú),Vietnam,514.0,Hanoi,25505,ijk_Cwy_eSJD`@FZ?l@Db@Hp@DZFjANxCZl@NnARrBH`@Fl@Bd@Jj@F^N
33909383,Trần Phú (Điện Biên Phủ),Vietnam,300.0,Hanoi,27536,wmj_Cas_eSAb@K^Bn@Gr@Qx@KfAe@vDUpA
13547534,Chops to Chops 5k loop,Vietnam,2782.6,Hà Nội,21678,kvp_Cyu|dSl@f@b@LbB|@ZZVd@Nf@fBtB\X~A|@hBtBZXjAzAx@v@b@H`@TbA`BjD|HY`@c@\\W`@M\T^h@Rb@~A~Bn@dAL^mClCQ`@g@R_@ZcAj@qCpBf@g@uBjBwB~Ac@RiAZc@?e@Ec@Ig@Ma@UY[Ka@]S[_@Qs@S_@_Aq@Wa@g@aAq@_AQc@Ig@Oc@Ci@I]Hd@AVc@PY^g@|CW^oBXoAFc@FO?W_@gAkCa@mAkAkC
13547551,"Quang An run to ""the mountain""",Vietnam,769.7,Hà Nội,28581,_sp_Cgs|dSdAd@`@Vh@bApAtAR`@|@t@|@f@hAzAZ\jChC^Xd@JZZhA`Bp@pBr@fB\jA
13267713,Phu Tay Ho,Vietnam,720.7,Hà Nội,28728,eto_Cm`{dSSRQFKPg@VWH]ZQJCFw@x@G?EDODSNMRC?g@ZCHE?[^MFIJYLg@ZI?[LM?CDE@UB[HU@MEc@CKBKEKAQGIKG@EG_@WS_@MOO[MMA]GSECGO?KIACGOIUSEKKE[]OIK_@GI
34344549,Quang Ba Arc,Vietnam,1922.3,Hanoi,26970,oup_Cid{dSOa@OOMAGFYHGFOb@APGNWdB?JGRIHG@_@@kAJIA[Bc@Hk@DKCCA_@aAGISaAGECMOOESQ]AKGIQi@_AwAM]OSIIo@QmAk@QE_ABEFATCD?n@Nh@^|@HLJ^DF?JJ\AHDJFb@Rn@Hl@ITUVKVC`@D`@M\WXk@\m@z@SHWGCCQ]K[QYKOQCIFG?OJk@T]PI@i@XO@WFc@@OCSQOa@_@m@}@sBCKk@kAKe@?UHQdBuB@GAK@UKa@w@mBIGKW]YUKQCWCa@@UIIDG?
19242505,Ao Thuy Su - Sprint,Vietnam,240.5,Hà Nội,30020,}bq_C{~zdSyAkDYi@cB{D
3470854,Tay Ho run 1,Vietnam,1705.82,Hanoi,28052,apq_Cck{dSAVN^Lf@JX@RTr@Nx@RjB?HOTUPEZAdAIVYZs@`@m@p@GBQIU[Q]KASOGAMBMCI@qB`A{@NK?YEMGII{@wBQWOg@OSu@oB@YJYx@eAf@k@DKBc@COQg@WOk@{AOUIEg@Mk@Co@?YB_@P_Bn@QRO`@u@h@IBc@@KDU?]Je@VIAMBs@PSTSJMPGVKHS`AKVg@`@y@v@OVqAr@
13547597,Dilly Dam dilly Dam Dong - run run run,Vietnam,698.8,Hà Nội,31001,wuq_C_zzdSiCtAa@JiAA[W}CyGKc@Jc@Va@jAwANe@Me@Qc@]iAi@cA_@Qc@EmAB
